ex_type,ex_name,ex_body_area,target_muscle,secondary_muscle_1,secondary_muscle_2,equipment
Muscle,3/4 Sit-Up,Core,Abs,Hip Flexors,Lower Back,None
Muscle,45° Side Bend,Core,Abs,Obliques,,None
Muscle,Air Bike,Core,Abs,Hip Flexors,,None
Muscle,All Fours Squad Stretch,Upper Legs,Quads,Hamstrings,Glutes,None
Muscle,Alternate Heel Touchers,Core,Abs,Obliques,,None
Muscle,Alternate Lateral Pulldown,Back,Lats,Biceps,Rhomboids,Cable
Muscle,Ankle Circles,Lower Legs,Calves,Ankle Stabilizers,,None
Muscle,Archer Pull Up,Back,Lats,Biceps,Forearms,None
Muscle,Archer Push Up,Chest,Pectorals,Triceps,Shoulders,None
Muscle,Arm Slingers Hanging Bent Knee Legs,Core,Abs,Shoulders,Back,None
Muscle,Arm Slingers Hanging Straight Legs,Core,Abs,Shoulders,Back,None
Muscle,Arms Apart Circular Toe Touch (Male),Upper Legs,Glutes,Hamstrings,Quadriceps,None
Muscle,Arms Overhead Full Sit-Up (Male),Core,Abs,Hip Flexors,Lower Back,None
Muscle,Assisted Chest Dip (Kneeling),Chest,Pectorals,Triceps,Shoulders,Leverage Machine
Muscle,Assisted Hanging Knee Raise,Core,Abs,Hip Flexors,,Assisted
Muscle,Assisted Hanging Knee Raise With Throw Down,Core,Abs,Hip Flexors,Lower Back,Assisted
Muscle,Assisted Lying Calves Stretch,Lower Legs,Calves,Hamstrings,,Assisted
Muscle,Assisted Lying Glutes Stretch,Upper Legs,Glutes,Hamstrings,,Assisted
Muscle,Assisted Lying Gluteus And Piriformis Stretch,Upper Legs,Glutes,Hamstrings,,Assisted
Muscle,Assisted Lying Leg Raise With Lateral Throw Down,Core,Abs,Hip Flexors,Obliques,Assisted
Muscle,Assisted Lying Leg Raise With Throw Down,Core,Abs,Hip Flexors,Quadriceps,Assisted
Muscle,Assisted Motion Russian Twist,Core,Abs,Obliques,Lower Back,Medicine Ball
Muscle,Assisted Parallel Close Grip Pull-Up,Back,Lats,Biceps,Forearms,Leverage Machine
